uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
295fc4f2-cc77-4b5e-ac55-a6ea5f570841,WB-GRP-0537-L3,scenario_synthesis,claude,grape_varieties,1,application,"A Kakhetian cellar is preparing two dry white cuvées for export labeling review. One is a field blend drawn from vineyards in Telavi and Kvareli, fermented to 10.5% alcohol with 1.5% residual sugar and titrated acidity of 6 g/L. The winemaker wants to bottle it under a traditional Georgian appellation name. Which appellation fits this wine, and what two grapes must the final blend be composed of?","[{'id': 'A', 'text': 'Tsinandali, blended from Mtsvane and Kisi'}, {'id': 'B', 'text': 'Kindzmarauli, blended from Mtsvane and Khikhvi'}, {'id': 'C', 'text': 'Tsinandali, blended from Rkatsiteli and Saperavi'}, {'id': 'D', 'text': 'Tsinandali, blended from Rkatsiteli and Mtsvane'}]",D,"[1] The alcohol content is 9–11.5%, sugar content 1-2%, titrated acidity 5-7 g/L.
---
[2] Tsinandali is a blend of Rkatsiteli and Mtsvane grapes from the micro-regions of Telavi and Kvareli in the Kakheti region.
---
[3] Georgian wine strength is 18 vol.%, sugar content 7%, titrated acidity 3-7 g/L.",,,,,,,,,,,
b212fcc9-2ac4-4b82-a86a-b91f236e71d6,WB-WMK-0320-L2,fact_to_question,chatgpt,winemaking,1,recall,"Which country includes the Slavonian oak forest, a notable source of oak in cooperage?","[{'id': 'A', 'text': 'Slovenia'}, {'id': 'B', 'text': 'Serbia'}, {'id': 'C', 'text': 'Croatia'}, {'id': 'D', 'text': 'Hungary'}]",C,[1] Croatia is also home to the Slavonian oak forest.,,,,,,,,,,,
ec55f621-b50d-46f9-b891-b7999a0f06b5,WB-GRP-0532-L2,comparative,chatgpt,grape_varieties,2,analysis,"One of these two Italian wine contexts allows 60% red grape varieties, while the other allows 33%. Which option matches them correctly?","[{'id': 'A', 'text': 'Both Piedmont wine and Viticulture in Sicily = 60%'}, {'id': 'B', 'text': 'Both Piedmont wine and Viticulture in Sicily = 33%'}, {'id': 'C', 'text': 'Piedmont wine = 60%; Viticulture in Sicily = 33%'}, {'id': 'D', 'text': 'Piedmont wine = 33%; Viticulture in Sicily = 60%'}]",C,"[1] Piedmont wine permits the 60% red varieties grape variety.
---
[2] Viticulture in Sicily permits the 33% red varieties grape variety.",,,,,,,,,,,
601fd2a0-09b4-493f-ab32-b3bde945fdda,WB-GRP-0533-L4,scenario_synthesis,gemini,grape_varieties,4,synthesis,"A California winery group is expanding its red wine portfolio by developing newly acquired vineyard sites in three distinct appellations: Carmel Valley, River Junction, and the Russian River Valley. The viticulture director is finalizing the planting blocks for two specific red varieties to ensure strict compliance with local appellation authorizations. Relying on regional regulations for approved cultivars, which distribution of vines should the director approve?","[{'id': 'A', 'text': 'Cultivate Alicante Bouschet in both the Carmel Valley and River Junction sites, while dedicating the Russian River Valley acreage to Cabernet Sauvignon.'}, {'id': 'B', 'text': 'Cultivate Cabernet Sauvignon in both the Carmel Valley and River Junction sites, while dedicating the Russian River Valley acreage to Alicante Bouschet.'}, {'id': 'C', 'text': 'Assign Alicante Bouschet to the River Junction site, and plant Cabernet Sauvignon across both the Russian River Valley and Carmel Valley properties.'}, {'id': 'D', 'text': 'Assign Cabernet Sauvignon exclusively to the Russian River Valley site, while planting Alicante Bouschet across both Carmel Valley and River Junction.'}]",B,"[1] River Junction AVA permits the Cabernet Sauvignon grape variety.
---
[2] Russian River Valley AVA permits the Alicante Bouschet grape variety.
---
[3] Carmel Valley AVA permits the Cabernet Sauvignon grape variety.",,,,,,,,,,,
a0cbb6d7-b0c7-43d7-ad83-049b988824e3,WB-GRP-0516-L3,comparative,llama,grape_varieties,3,analysis,"Which grape variety is a white grape according to the University of California, Davis Viticulture and Enology program?","[{'id': 'A', 'text': 'Merlot'}, {'id': 'B', 'text': 'New York Muscat'}, {'id': 'C', 'text': 'Albillo Mayor'}, {'id': 'D', 'text': 'Cabernet Sauvignon'}]",C,"[1] Albillo Mayor is a white grape variety according to UC Davis FPS.
---
[2] New York Muscat is a black grape variety according to UC Davis FPS.",,,,,,,,,,,
71d2cc4f-c876-4fed-ad95-0c06f27fb5e5,WB-VIT-0408-L3,scenario_synthesis,qwen,viticulture,1,application,"A winemaking team is designing a heritage-focused project in a region known for ancient viticulture, aiming to replicate traditional methods based on archaeological evidence. They plan to cultivate vines in a way that integrates them with existing fruit trees, allowing the grape clusters to hang near ripening fruit. The team also intends to ferment and age the wine in large, egg-shaped clay vessels, which will be buried underground to maintain a stable temperature throughout the maturation process. Historical records indicate that this region has supported grape cultivation and fermentation in such vessels for over eight millennia. Given these conditions, which factor most strongly supports the authenticity of their methodological choices?","[{'id': 'A', 'text': 'The integration of grapevines with fruit trees reflects a historical agricultural pattern documented in ancient viticultural sites.'}, {'id': 'B', 'text': 'The warm climate justifies extended skin contact, a hallmark of oxidative white styles.'}, {'id': 'C', 'text': 'The buried clay vessels correspond to a tradition of subterranean wine storage dating back to the 6th millennium BCE in this area.'}, {'id': 'D', 'text': 'The use of underground fermentation vessels aligns with modern temperature-control practices in cool-climate regions.'}]",C,"[1] == Growing conditions ==
Georgia's territorial and climate conditions are optimal for wine-making.
---
[2] Georgian wine from 6000 BC inhabitants of the current Georgia were cultivating grapes and burying clay vessels, kvevris, in which to store their wine ready for serving at ground temperature.
---
[3] The soil in vineyards is so intensively cultivated that the grapevines grow up the trunks of fruit trees eventually hanging down along the fruit when they ripen.",,,,,,,,,,,
7011deee-3d65-41bb-ad99-fb2c221d91b6,WB-REG-0458-L4,distractor_mining,claude,wine_regions,4,analysis,Which Austrian grape or wine category derives its nickname 'Rabiatperle' ('rabid pearl') from folk belief that its wild ancestor contained compounds capable of causing unusually intense intoxication?,"[{'id': 'A', 'text': 'St. Laurent'}, {'id': 'B', 'text': 'Ausbruch'}, {'id': 'C', 'text': 'Schilcher'}, {'id': 'D', 'text': 'Trockenbeerenauslese'}]",C,"[1] 'dried berry selection'), or TBA, is a German or Austrian botrytized wine made entirely from the individually selected grapes fully ""dried"" from Botrytis cinerea (""noble rot""), hence the name.
---
[2] In eastern Austria, a Heuriger (German pronunciation: [ˈhɔʏʁɪɡɐ]; Austrian pronunciation: Heiriga, Hungarian: Kurta kocsma) is a tavern where local winemakers serve their new wine under a special licence in alternating months during the growing season.
---
[3] Austrian wine comprises approximately 6% of total vineyards, or 1,053 hectares (2,600 acres).
---
[4] The grape was once a wild variety that was said to contain alcohol compounds that, allegedly, would induce wild inebriation, hence its colloquial name Rabiatperle - rabid pearl.
---
[5] The category was introduced into Austrian wine legislation in 1970, as a legalization of the production method allegedly already used in the area of Rust.
---
[6] Domaene Lilienfeld - Lilienfelderhof - is one of the oldest wine estates in Central Europe.",,,,,,,,,,,
292119dc-c967-49a4-9962-28a007f3210d,WB-PRD-0360-L3,template,template_only,producers,3,recall,True or False: the producer Château Falfas sits within the Bayon-sur-Gironde wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Château Falfas is a wine estate in Bayon-sur-Gironde.,,,,,,,,,,,
fe235a2a-646a-4e8f-8688-ee3b2d289170,WB-PRD-0375-L3,distractor_mining,llama,producers,1,analysis,Which Georgian estate was home to a fashionable 19th century salon?,"[{'id': 'A', 'text': 'Teliani Valley'}, {'id': 'B', 'text': 'Imereti'}, {'id': 'C', 'text': 'Kakheti'}, {'id': 'D', 'text': 'Tsinandali'}]",D,"[1] Currently, wine is produced by thousands of small farmers (using primarily traditional techniques of wine-making), as well as by certain monasteries and modern wineries.
---
[2] Because of this, its cost is quite high at more than US$50 per bottle, direct from the winery.
---
[3] In a very good year, there are only about 1,000 bottles produced in the country, mainly by Teliani Valley.
---
[4] In recent years, a growing number of boutique family wineries have emerged in regions such as Kakheti, Imereti.
---
[5] The National Wine Agency of Georgia (Georgian: ღვინის ეროვნული სააგენტო) is a legal entity of public law under the Ministry of Agriculture of Georgia that was founded in 2014 in.
---
[6] In the 19th century a fashionable salon was located in Tsinandali estate.",,,,,,,,,,,
ae85dcc7-1cec-42a5-ad09-26b56da3f111,WB-REG-0456-L4,distractor_mining,qwen,wine_regions,4,analysis,"This entity is associated with a vineyard located in Marlboro, New York, within the Hudson Valley region, where the proprietor was recognized for cultivating wine grapes in a climate influenced by the nearby river and rugged terrain. The site has historical significance in the northeastern U.S. wine industry, with viticultural activity dating back to the 19th century and later revitalization by a prominent figure in American hybrid grape development. Which entity does this describe?","[{'id': 'A', 'text': 'San Bernabe AVA'}, {'id': 'B', 'text': 'Benmarl Vineyards'}, {'id': 'C', 'text': 'Yountville AVA'}, {'id': 'D', 'text': 'Hames Valley AVA'}]",B,"[1] Hames Valley is 3 miles (5 km) west of the town of Bradley and about 20 miles (32 km) north of the city of Paso Robles and AVA in San.
---
[2] Although not officially recognized, many wine connoisseurs further define the Willamette Valley into northern and southern regions with the demarcation being the latitude of Salem (approximately 45° north).
---
[3] Yountville AVA was established as the nation's 137th, the state's 83rd and the county's fourteenth appellation on March 19, 1999 by the Bureau of Alcohol, Tobacco and Firearms (ATF).
---
[4] Miller was known for being the proprietor of Benmarl Vineyards in the Hudson Valley of Marlboro, N.Y.
---
[5] Vidal blanc is also grown just 500 miles south of the Arctic Circle in Sweden where it is also used to make ice wine.
---
[6] San Bernabe AVA lies within the larger, enlongated  Monterey AVA  in the Salinas Valley sandwiched between the Salinas River to the east.",,,,,,,,,,,
