uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
7363d22d-f7cf-4257-b389-cdfcf84c6714,WB-GRP-0437-L3,template,template_only,grape_varieties,3,application,"A vigneron is considering planting Grenache in a region with an established track record. Per the fact, which region is documented as a home for this variety?","[{'id': 'A', 'text': 'Salado Creek AVA'}, {'id': 'B', 'text': 'San Luis Rey AVA'}, {'id': 'C', 'text': 'Carmel Winery'}, {'id': 'D', 'text': 'Soave (wine)'}]",B,[1] San Luis Rey AVA permits the Grenache grape variety.,,,,,,,,,,,
b7e20686-ee37-4d9a-a07e-c6f41e189b30,WB-REG-0436-L3,distractor_mining,claude,wine_regions,1,analysis,A California AVA located in the Santa Monica Mountains region received its official designation in 2006. Which appellation is being described?,"[{'id': 'A', 'text': 'Saddle Rock-Malibu AVA'}, {'id': 'B', 'text': 'Pine Mountain-Cloverdale Peak AVA'}, {'id': 'C', 'text': 'Yountville AVA'}, {'id': 'D', 'text': 'Eagle Peak Mendocino County AVA'}]",A,"[1] The Pine Mountain-Cloverdale Peak AVA was established in 2011 in California.
---
[2] The Eagle Peak Mendocino County AVA was established in 2014 in California.
---
[3] The Yountville AVA was established in 1999 in California.
---
[4] The Clear Lake AVA was established in 1984 in California.
---
[5] The Saddle Rock-Malibu AVA was established in 2006 in California.
---
[6] The Monticello AVA was established in 1984 in Virginia.",,,,,,,,,,,
d382062c-09f2-4b87-8d3a-1966f5a04cee,WB-REG-0427-L2,scenario_synthesis,qwen,wine_regions,1,application,"A viticulturist is evaluating two Chilean coastal wine regions for a new planting of aromatic white varieties. Both regions benefit from maritime influence, but in one region, the proximity to the Pacific Ocean results in stronger cooling effects due to the absence of a significant coastal mountain barrier. In the other, the Coastal Ranges not only buffer the oceanic current but also create a rain shadow, reducing precipitation. The goal is to select the site where the combination of cooling and low rainfall naturally supports lower disease pressure and slower ripening, favoring aromatic intensity and acid retention. Given these conditions, which region is more likely to produce the crisper, more aromatic profile the team seeks, based on its distinct physical relationship to the Pacific current and topographic exposure?","[{'id': 'A', 'text': 'The region where the Coastal Ranges act as a buffer and rain shadow, limiting rainfall and moderating oceanic influence'}, {'id': 'B', 'text': 'The region with the deepest alluvial soils, maximizing water retention and vine vigor'}, {'id': 'C', 'text': 'The region located at the highest elevation within the Andean foothills, regardless of coastal proximity'}, {'id': 'D', 'text': 'The region with direct exposure to the Pacific Ocean, lacking a mountain buffer, allowing unimpeded cool air and fog intrusion'}]",D,"[1] One of Chile's southern wine regions, it has become known for its crisp, aromatic wines.
---
[2] As in other Chilean wine regions, like the Casablanca Valley, San Antonio is highly influenced by the cooling effect of the Pacific Ocean which makes wine production possible in this.
---
[3] For the rest of Chile's wine regions, the Coastal Ranges serve a buffer from the current and also acts as a rain shadow.",,,,,,,,,,,
4f871f97-625a-4dd8-a935-de885b3a8727,WB-GRP-0450-L2,fact_to_question,qwen,grape_varieties,2,recall,Which of the following grape varieties is permitted for use in wines produced within the San Antonio Valley AVA?,"[{'id': 'A', 'text': 'Marsanne'}, {'id': 'B', 'text': 'Viognier'}, {'id': 'C', 'text': 'Roussanne'}, {'id': 'D', 'text': 'Grenache Blanc'}]",A,[1] San Antonio Valley AVA permits the Marsanne grape variety.,,,,,,,,,,,
53041ee0-b26c-4196-9e39-f5f119c9a539,WB-VIT-0387-L4,scenario_synthesis,gemini,viticulture,4,application,"A California estate director is addressing a mature vineyard block heavily impacted by fungal wood pathogens. The team is drafting a remediation protocol that addresses vine surgery, ongoing maintenance, and the surrounding estate landscaping. Based on established pest management guidelines, which comprehensive strategy should the director approve?","[{'id': 'A', 'text': 'Cease prophylactic wound protectants as they offer zero benefit to already-infected mature vines, establish replacement cordons from the existing upper trunk where the wood is cleanest, and remove the neighboring eucalyptus and olive trees.'}, {'id': 'B', 'text': 'Cease prophylactic wound protectants to save costs, establish replacement trunks from basal shoots since the disease primarily affects the higher permanent architecture, and plant a beneficial hedgerow of willow and big leaf maple.'}, {'id': 'C', 'text': 'Continue applying prophylactic wound protectants, avoid cutting the vines back since the pathogen is concentrated in the lower root system, and plant a beneficial hedgerow of California buckeye and Ceanothus to isolate the block.'}, {'id': 'D', 'text': 'Continue applying prophylactic wound protectants even though the block is older, establish replacement trunks from basal shoots because the disease primarily affects the higher permanent architecture, and eliminate the neighboring ornamental oleander and apricot trees.'}]",D,"[1] Although preventative practices are most effective in young vineyards (before the vines become infected by trunk diseases), these practices have some utility in diseased mature vineyards.
---
[2] There is a higher success rate when retraining a new trunk, as most of the infections are concentrated in the upper portions of the permanent vine framework.
---
[3] In California several plants in addition to cultivated grapevines serve as reservoirs for the pathogen including almond, apricot, apple, blueberry, cherry, crab apple, Ceanothus spp., kiwi, pear, oleander, and native plants (California buckeye, big leaf maple, and willow).",,,,,,,,,,,
f58ca79e-b27a-4205-84e6-f1f7928936e4,WB-PRD-0338-L2,template,template_only,producers,1,recall,Which region houses the producer Hecht & Bannier?,"[{'id': 'A', 'text': 'Languedoc-Roussillon'}, {'id': 'B', 'text': 'Côte-d’Or'}, {'id': 'C', 'text': 'Nuits-Saint-Georges AOC'}, {'id': 'D', 'text': 'Beaune AOC'}]",A,[1] Hecht & Bannier is a wine producer in the Languedoc-Roussillon region of France.,,,,,,,,,,,
7b016ac3-cfde-45b1-a49f-4d1bf841e77c,WB-GRP-0436-L2,template,template_only,grape_varieties,1,comprehension,"Given the fact, a producer working with Tannat would be operating in which country?","[{'id': 'A', 'text': 'US'}, {'id': 'B', 'text': 'Uruguay'}, {'id': 'C', 'text': 'Brazil'}, {'id': 'D', 'text': 'Ukraine'}]",B,[1] Tannat is a widely reviewed grape variety in Uruguay.,,,,,,,,,,,
0b52350d-fd5a-4ff9-bb9a-a359b010dad6,WB-GRP-0478-L3,comparative,claude,grape_varieties,3,analysis,"A grower is researching two small, lesser-known California AVAs for a planting project. One AVA's regulations sanction Cabernet Franc among its approved grapes, while another AVA — located in the Sierra foothills region — sanctions Carmenère. Which AVA pairing correctly matches each grape to the AVA that permits it?","[{'id': 'A', 'text': 'Cabernet Franc → Squaw Valley-Miramonte AVA; Carmenère → Calistoga AVA'}, {'id': 'B', 'text': 'Cabernet Franc → Calistoga AVA; Carmenère → Calistoga AVA'}, {'id': 'C', 'text': 'Cabernet Franc → Squaw Valley-Miramonte AVA; Carmenère → Squaw Valley-Miramonte AVA'}, {'id': 'D', 'text': 'Cabernet Franc → Calistoga AVA; Carmenère → Squaw Valley-Miramonte AVA'}]",D,"[1] Calistoga AVA permits the Cabernet Franc grape variety.
---
[2] Squaw Valley-Miramonte AVA permits the Carmenere grape variety.",,,,,,,,,,,
4fa57e32-d759-4205-aeb0-ca58a91dffd0,WB-GRP-0432-L4,template,template_only,grape_varieties,4,comprehension,"According to the fact, in which wine region is | varietals = cultivated?","[{'id': 'A', 'text': 'Corton (wine)'}, {'id': 'B', 'text': 'Bordeaux wine regions'}, {'id': 'C', 'text': 'Israeli wine'}, {'id': 'D', 'text': 'Ycoden-Daute-Isora'}]",D,[1] Ycoden-Daute-Isora permits the | varietals = grape variety.,,,,,,,,,,,
dd5373ff-a17e-4bb3-94c4-04596123461c,WB-GRP-0443-L2,fact_to_question,gemini,grape_varieties,1,recall,"When evaluating the similarly named cultivars Pedro Giménez and Pedro Ximénez, what conclusion have vine researchers reached regarding their connection?","[{'id': 'A', 'text': 'The former is a confirmed direct offspring of the latter.'}, {'id': 'B', 'text': 'They are identical genetic matches originating from the Iberian Peninsula.'}, {'id': 'C', 'text': 'They represent distinct color mutations of the same original vine.'}, {'id': 'D', 'text': 'They are separate cultivars whose genetic connection remains unverified.'}]",D,"[1] Despite the similar name, the Spanish wine grape Pedro Ximénez is a different variety with ampelographers are not yet certain if the two grapes are in any way related.",,,,,,,,,,,
