uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
6123c629-92ef-49a9-a141-73034770b666,WB-GRP-0281-L3,distractor_mining,llama,grape_varieties,3,analysis,Which Italian wine is typically a blend of Merlot and Cabernet Franc?,"[{'id': 'A', 'text': 'Cviček'}, {'id': 'B', 'text': 'Vipava Valley white'}, {'id': 'C', 'text': 'Collio Rosso'}, {'id': 'D', 'text': 'Koper red'}]",C,"[1] The Vipava Valley district specializes in light, crisp white wines made from the local Pinela and Zelen grapes.
---
[2] Red wine is produced under the Collio Rosso designation and is usually a blend of Merlot, Cabernet Franc.
---
[3] The Lower Carniola district is known for its production of Cviček made from a blend of white and red wine grapes, most commonly Kraljevina and Žametovka.
---
[4] The Refosco and Malvazija grapes are the most widely planted in Koper.
---
[5] Cviček is a unique wine, composed of different grape varieties including both white and red grape species.
---
[6] Other grape varieties found in the Drava Valley include Chasselas, Gamay, Kerner, Kraljevina, Muscat Ottonel, Blauer Portugieser, Ranfol, Rizvanec, Muscat, Zeleni Silvanec, Zlahtnina.",,,,,,,,,,,
248541a9-ce76-456b-86b1-f5cbe76f6cc0,WB-REG-0232-L2,scenario_synthesis,llama,wine_regions,2,analysis,A California winemaker is deciding where to source grapes for a new vineyard project. They are considering AVAs established in the 1980s versus those established more recently. Which of these is the most recently established AVA?,"[{'id': 'A', 'text': 'Paso Robles Estrella District'}, {'id': 'B', 'text': 'North Yuba'}, {'id': 'C', 'text': 'Russian River Valley'}]",A,"[1] The Russian River Valley AVA was established in 1983 in California.
---
[2] The Paso Robles Estrella District AVA was established in 2014 in California.
---
[3] The North Yuba AVA was established in 1985 in California.",,,,,,,,,,,
5fa0bf2a-3048-4fb7-a06d-3a5b9ba679e5,WB-GRP-0277-L4,distractor_mining,claude,grape_varieties,4,analysis,"Among the following American Viticultural Areas, which one shares Cabernet Franc as a permitted grape variety alongside the Yucaipa Valley AVA?","[{'id': 'A', 'text': 'Manton Valley AVA'}, {'id': 'B', 'text': 'Potter Valley AVA'}, {'id': 'C', 'text': 'Cienega Valley AVA'}, {'id': 'D', 'text': 'River Junction AVA'}]",C,"[1] Potter Valley AVA permits the Pinot Noir grape variety.
---
[2] Malibu-Newton Canyon AVA permits the Chardonnay grape variety.
---
[3] Manton Valley AVA permits the Chardonnay grape variety.
---
[4] Cienega Valley AVA permits the Cabernet Franc grape variety.
---
[5] Yucaipa Valley AVA permits the Cabernet Franc grape variety.
---
[6] River Junction AVA permits the Merlot grape variety.",,,,,,,,,,,
cf5b541f-a914-4cda-9c70-61aa64c45d2d,WB-PRD-0201-L1,template,template_only,producers,1,application,"A buyer plans to import wines directly from the estate Schloss Vollrads. Per the fact, which country's export procedures should they follow?","[{'id': 'A', 'text': 'Hungary'}, {'id': 'B', 'text': 'Germany'}, {'id': 'C', 'text': 'France'}, {'id': 'D', 'text': 'Italy'}]",B,[1] Schloss Vollrads is a wine producer in the Rheingau region of Germany.,,,,,,,,,,,
229a4d3a-50bf-4035-a64d-e0edc7efdbeb,WB-WMK-0193-L2,fact_to_question,claude,winemaking,2,recall,"Under DOCG regulations, what is the minimum period of bottle aging required for Brunello di Montalcino prior to commercial release?","[{'id': 'A', 'text': '2 months'}, {'id': 'B', 'text': '4 months'}, {'id': 'C', 'text': '12 months'}, {'id': 'D', 'text': '6 months'}]",B,[1] Brunello di Montalcino must spend at least 4 months in bottle before release.,,,,,,,,,,,
96b3884f-e9b8-4765-8b07-c430842c4a46,WB-REG-0190-L1,template,template_only,wine_regions,1,application,"A buyer is routing a shipment of Sierra Foothills AVA wine. Based on the fact, which US state is the origin?","[{'id': 'A', 'text': 'Arizona'}, {'id': 'B', 'text': 'Oregon'}, {'id': 'C', 'text': 'California'}, {'id': 'D', 'text': 'Colorado'}]",C,[1] The Sierra Foothills AVA was established in 1987 in California.,,,,,,,,,,,
1a8db214-6247-479a-bb0b-b7bf0fae000a,WB-VIT-0188-L2,fact_to_question,gemini,viticulture,2,recall,"In vineyard floor management, what is the primary reason that mechanical soil working is typically necessary following the application of water?","[{'id': 'A', 'text': 'It prevents the formation of a hard crust that restricts oxygen exchange.'}, {'id': 'B', 'text': 'It severs shallow feeder roots to encourage deeper root system development.'}, {'id': 'C', 'text': 'The added moisture prompts dormant unwanted plant seeds to sprout.'}, {'id': 'D', 'text': 'It incorporates surface-applied fertilizers into the active root zone.'}]",C,"[1] Cultivation is required after each irrigation, because irrigation causes weed seeds to germinate.",,,,,,,,,,,
9310362d-eb05-4199-bfc1-7bab862543e0,WB-GRP-0200-L1,template,template_only,grape_varieties,1,comprehension,"Per the fact, which country hosts cultivation of Cabernet Sauvignon?","[{'id': 'A', 'text': 'Argentina'}, {'id': 'B', 'text': 'Mexico'}, {'id': 'C', 'text': 'Spain'}, {'id': 'D', 'text': 'Uruguay'}]",A,[1] Cabernet Sauvignon is a widely reviewed grape variety in Argentina.,,,,,,,,,,,
471edb2e-99c7-49bb-8fda-78325796f74e,WB-GRP-0273-L2,scenario_synthesis,llama,grape_varieties,2,synthesis,"A New Zealand Pinot Noir producer wants to maintain the characteristic fruit-driven, forward style of the region in their wine. Which of the following viticultural practices would best help achieve this goal?","[{'id': 'A', 'text': 'Extending the maceration period to extract more tannins and body'}, {'id': 'B', 'text': 'Harvesting the grapes early to preserve acidity and primary fruit flavors'}, {'id': 'C', 'text': 'Allowing the grapes to reach maximum ripeness on the vine'}, {'id': 'D', 'text': 'Aging the wine in new oak barrels for a prolonged period'}]",B,"[1] In areas where the vine is subjected to high heat, the grape will quickly become over-ripe and produce wines with dull flavors and flat acidity.
---
[2] There are no other grape or wine-production regulations.
---
[3] As is the case for other New Zealand wine, New Zealand Pinot Noir is fruit-driven, forward and early maturing in the bottle.",,,,,,,,,,,
f2851915-f375-4f9f-b2ab-5109338e29da,WB-VIT-0204-L2,comparative,llama,viticulture,2,analysis,"Which of these wine entities is more adaptable to a wide range of soil types, including hot, dry, well-drained soils?","[{'id': 'A', 'text': 'Hunter Valley'}, {'id': 'B', 'text': 'Chardonnay'}, {'id': 'C', 'text': 'Cabernet Sauvignon'}, {'id': 'D', 'text': 'Grenache'}]",D,"[1] Grenache prefers hot, dry soils that are well drained but it is relatively adaptable to all vineyard soil types.
---
[2] Overall, the Hunter Valley has more soils (mostly hard, acidic patches of poorly draining heavy clay) that are unsuitable for viticulture than they have areas that are ideal for growing.",,,,,,,,,,,
