uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,notes
d1035347-1471-40b1-9352-384f305025e6,WB-GRP-0210-L2,scenario_synthesis,chatgpt,grape_varieties,2,synthesis,"An Australian producer is expanding its bubbly range because customers increasingly want lively, refreshing sparklers, including very low-sugar styles. One lot has already been finished through disgorgement and now tastes drier than the target release. The winemaker also wants this wine to remain distinctly Australian rather than relying on the usual sparkling grapes. Which plan best fits those goals?","[{'id': 'A', 'text': 'Use Pinot Noir and increase sweetness after disgorgement with unfermented grape juice.'}, {'id': 'B', 'text': 'Use Shiraz for the sparkling wine and, after disgorgement, fine-tune sweetness with a small addition of wine mixed with sugar syrup.'}, {'id': 'C', 'text': 'Use Chardonnay and set the sweetness before disgorgement by adding only sugar syrup.'}, {'id': 'D', 'text': 'Use Pinot Meunier and avoid any post-disgorgement adjustment because very dry sparkling wine cannot be modified at that stage.'}]",B,"[1] Whilst most sparkling wine is produced from Chardonnay, Pinot noir and possibly Pinot Meuniere, an Australian speciality is sparkling Shiraz, a red sparkling wine produced from Shiraz grapes.
---
[2] A dosage mixture of fresh wine and some sugar syrup is used to adjust the sweetness level of the wine after it has been disgorged.
---
[3] A rise in consumer demand and an ever-broadening selection of cool climate grapes has led to an increase in fresh and delightful sparkling wines ranging from bone dry extra brut.",,,,,,,,,
cc25196b-aa3e-4eda-8768-539662be0748,WB-PRD-0187-L3,distractor_mining,gemini,producers,3,analysis,"Following their passing, this individual's extensive 140-acre agricultural property and grapevines were transformed into a well-known residential district in San Jose, California. Which historical figure does this describe?","[{'id': 'A', 'text': 'Konstantin Frank'}, {'id': 'B', 'text': 'Henry Morris Naglee'}, {'id': 'C', 'text': 'Marshall Dawson Miller'}, {'id': 'D', 'text': 'Mary Anderson'}]",B,"[1] Mary Anderson (inventor) later became known as a real-estate developer in Birmingham as well as the operator of a cattle ranch and vineyard in California.
---
[2] Konstantin Frank (1899–1985) was a viticulturist and pioneering winemaker of the 1950s in the Finger Lakes region of New York.
---
[3] After his death, his 140-acre estate and vineyards became the Naglee Park neighborhood of San Jose, California.
---
[4] Marshall Dawson Miller (January 2, 1919 – September 9, 2008), also known as Mark Miller, was a New York winemaker and magazine illustrator.
---
[5] Pleasant Valley Wine Company is a wine producer in New York, United States.
---
[6] Sylvin Farms Winery is a wine producer in New Jersey, United States.",,,,,,,,,
a9f64e4c-a444-4f06-8063-4d65491941f9,WB-WMK-0167-L2,comparative,claude,winemaking,2,analysis,"A sommelier is describing a sweet wine from northeastern Italy that is produced using the same appassimento-style drying process employed for Amarone, and is considered the oldest wine of its production area. Which wine region or tradition is being described?","[{'id': 'A', 'text': 'Recioto within Italian wine tradition'}, {'id': 'B', 'text': 'Vin Santo from Tuscany'}, {'id': 'C', 'text': 'Soave Superiore DOCG Riserva'}, {'id': 'D', 'text': 'Passito di Pantelleria'}]",A,"[1] Soave Superiore DOCG wines can also receive a Riserva designation, provided the wine is fermented to a minimum alcohol level of 12.
---
[2] The same method used for Amarone is used for Recioto, the oldest wine produced in this area, but the difference is that Recioto is a sweet wine.",,,,,,,,,
14c1493a-9fb2-4fac-b433-11e7ef35529e,WB-VIT-0143-L2,comparative,gemini,viticulture,2,analysis,"A sommelier is studying a map of California wine regions to understand nested appellations. They focus on a specific sub-region situated in the middle part of Monterey County. This particular zone is entirely encompassed by a much larger, stretched-out viticultural area that shares the county's name. Which appellation is the sommelier examining?","[{'id': 'A', 'text': 'Santa Lucia Highlands AVA'}, {'id': 'B', 'text': 'Big Valley-Lake County AVA'}, {'id': 'C', 'text': 'Kelsey Bench-Lake County AVA'}, {'id': 'D', 'text': 'Monterey AVA'}]",A,"[1] Santa Lucia Highlands is an American Viticultural Area (AVA) located in central Monterey County, California and lies within the boundaries of the larger, elongated Monterey viticultural area.
---
[2] The Kelsey Bench—Lake County viticultural area encompasses approximately 9,100 acres (14 sq mi) immediately south of the Big Valley—Lake County viticultural area.",,,,,,,,,
19b2622e-a1e1-49aa-b1f9-f0e123ec397e,WB-PRD-0150-L2,template,template_only,producers,2,recall,True or False: the producer Henschke sits within the South Australia wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Henschke is a wine producer located in South Australia.,,,,,,,,,
cff1df02-d077-46d7-89ce-23b1c5aa5197,WB-BIZ-0149-L4,distractor_mining,qwen,wine_business,4,analysis,"Which certification system is exclusive to wines produced within a specific country, ensuring only domestically made wines can receive its official quality designation, while allowing other non-geographic certification marks to be protected under national intellectual property laws?","[{'id': 'A', 'text': 'European Union wine regulations'}, {'id': 'B', 'text': 'Vintners Quality Alliance (VQA)'}, {'id': 'C', 'text': 'Denominación de Origen'}, {'id': 'D', 'text': ""Appellation d'origine contrôlée (AOC)""}]",B,"[1] An appellation is a legally defined and protected geographical indication used to identify where the ingredients of a food or beverage originated.
---
[2] European Union wine regulations is more restricted if the wine is also chaptalised.
---
[3] European Union wine regulations the Commission regulations are written by the European Commission in collaboration with the Wine Management Committee.
---
[4] The Cru Bourgeois classification lists some of the châteaux from the Médoc that were not included in the 1855 Classification of Crus Classés, or Classed Growths.
---
[5] Table wine the terms that actually appear on wine labels are defined by national wine laws with the EU regulations as a framework.
---
[6] For instance, in Canada, only Canadian wines can be VQA approved but other certification trademarks can be registered under the intellectual property regime.",,,,,,,,,
7d6db076-708c-40be-a46a-200ce019dae0,WB-PRD-0158-L3,template,template_only,producers,3,recall,True or False: Château Lagrange is located in the Château Langoa-Barton wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Château Lagrange is a classified Bordeaux estate in Château Langoa-Barton.,,,,,,,,,
6395247a-e6a0-4dcc-8e08-bdc7be635c7a,WB-VIT-0129-L2,fact_to_question,gemini,viticulture,2,recall,"Vidal Blanc, Chambourcin, Vignoles, and Seyval Blanc are frequently cultivated examples of which grapevine classification?","[{'id': 'A', 'text': 'Pure Vitis labrusca varieties'}, {'id': 'B', 'text': 'Vitis rotundifolia cultivars'}, {'id': 'C', 'text': 'Vitis vinifera intraspecific crossings'}, {'id': 'D', 'text': 'French-American hybrids'}]",D,"[1] French-American hybrids (the most commonly grown varieties being Chambourcin, Vidal Blanc, Seyval Blanc, and Vignoles) account for 3 percent of the total production.",,,,,,,,,
50504cd0-0c9a-4544-b951-7f155e7d588d,WB-GRP-0212-L3,scenario_synthesis,llama,grape_varieties,3,analysis,A Croatian winemaker is deciding where to plant a new vineyard for a varietal wine. The wine must be at least 85% of the grape type listed on the label. Which of the following locations would be best for expressing the unique terroir of the grape in the final wine?,"[{'id': 'A', 'text': 'In a valley with consistent climate'}, {'id': 'B', 'text': 'On a sunny hillside along the coast'}, {'id': 'C', 'text': 'On a rocky island in Dalmatia with a distinct microclimate'}, {'id': 'D', 'text': 'In a flat inland area with homogeneous soil'}]",C,"[1] If the wine has a grape varietal stamp, it must be at least 85% of the grape type whose name it carries.
---
[2] Located along hillsides and slopes, wine regions along the coast receive many hours of sunlight, ideal for grape production.
---
[3] Further south, in Dalmatia, with its rocky landscapes, the islands and hillsides have an infinite variety of microclimates resulting in a winegrowing area where terroir is a crucially important factor.",,,,,,,,,
5b9e6a75-ae92-4647-b8f6-41b655e02ec5,WB-PRD-0156-L2,template,template_only,producers,2,recall,Decide True or False — Swansea Vineyards is a producer of the New Jersey wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,"[1] Swansea Vineyards is a wine producer in New Jersey, United States.",,,,,,,,,
